A=6148 B=8246 C=5724 X=759042343 Y=6103016685 Z=17629162868 M=8639
A=9162 B=4176 C=8461 X=378242075 Y=8712101738 Z=23204153397 M=9064
A=9739 B=5250 C=8719 X=173058276 Y=6358308406 Z=74943077942 M=9732
A=6068 B=7000 C=9375 X=665995249 Y=5512566767 Z=38534015753 M=8729
A=5716 B=9936 C=7383 X=570952640 Y=8753559269 Z=69206299238 M=1200
A=3211 B=3687 C=7188 X=477407101 Y=2703475726 Z=64082183492 M=6642
A=8371 B=9884 C=8476 X=468826838 Y=9350894031 Z=41091953123 M=5952
A=7286 B=8504 C=6928 X=144304428 Y=1555593860 Z=29199905907 M=5707
A=3932 B=6616 C=6959 X=614628516 Y=5837798733 Z=21387250962 M=3373
A=6949 B=7810 C=9063 X=853847875 Y=9205497103 Z=57614742676 M=9442
A=4585 B=8688 C=8991 X=160581652 Y=4845557737 Z=95349001955 M=8262
A=9448 B=8854 C=5493 X=358699208 Y=4804670496 Z=97652216396 M=7472
A=8132 B=9512 C=7987 X=400203608 Y=6356896968 Z=16969335493 M=4913
A=6126 B=5883 C=9310 X=577896656 Y=2302944969 Z=28265854042 M=3462
A=9401 B=3318 C=7417 X=491235147 Y=3349232833 Z=38249682321 M=4151
A=8370 B=3007 C=7189 X=326220401 Y=9751994720 Z=51289555951 M=3935
A=6559 B=6447 C=8857 X=303739466 Y=7404379674 Z=64135498694 M=3357
A=3332 B=7300 C=7484 X=852747407 Y=8228976912 Z=44112837902 M=8379
A=3987 B=4588 C=5777 X=606321996 Y=2464004089 Z=10208003625 M=6120
A=5608 B=5767 C=7789 X=895977193 Y=9870785300 Z=45242172554 M=6884
A=5969 B=5865 C=5743 X=726263130 Y=2792739091 Z=87131290902 M=1868
A=4551 B=8270 C=7697 X=892055857 Y=4446209374 Z=48641808149 M=3898
A=5055 B=4099 C=9701 X=119396318 Y=4515489425 Z=96639623251 M=5702
A=8536 B=6244 C=5294 X=508627717 Y=9481500275 Z=10368149435 M=6783
A=3530 B=8265 C=5045 X=708002497 Y=7625295247 Z=76217020108 M=6872
A=5721 B=3877 C=7647 X=891460561 Y=7181162166 Z=11025613701 M=3712
A=2705 B=4479 C=8006 X=528819110 Y=7169070965 Z=99265310212 M=5898
A=9368 B=6041 C=8872 X=268081163 Y=7044831733 Z=32635786843 M=3210
A=4418 B=5036 C=7281 X=407555029 Y=7492317689 Z=83943261805 M=2322
A=9042 B=7677 C=5057 X=266006787 Y=2331857777 Z=79061343981 M=8466
A=3874 B=8797 C=7642 X=706984514 Y=3468034440 Z=56204130310 M=7708
A=3706 B=9891 C=9999 X=354325930 Y=8942033296 Z=29784912374 M=3728
A=2962 B=8257 C=7195 X=980193454 Y=9237309045 Z=28330161538 M=3982
A=7608 B=5551 C=6032 X=531051101 Y=4041552136 Z=69674989957 M=1654
A=9802 B=9490 C=8578 X=497604607 Y=7063712651 Z=91646837841 M=8152
A=7277 B=8956 C=8114 X=691430810 Y=7971144819 Z=39846857221 M=1013
A=5846 B=5329 C=9148 X=213458837 Y=3677696077 Z=12335363282 M=1321
A=6940 B=8132 C=5978 X=651937717 Y=5045306937 Z=39377334406 M=1409
A=4768 B=9801 C=8023 X=973743771 Y=4341186563 Z=40109537663 M=7258
A=4796 B=9054 C=9444 X=962789867 Y=6545686897 Z=55962813224 M=3808
A=9388 B=3562 C=9730 X=608296931 Y=3659506870 Z=73127187376 M=8333
A=5419 B=4384 C=5025 X=178918407 Y=1975907447 Z=12220430135 M=1779
A=9429 B=6746 C=9548 X=382807873 Y=7395728222 Z=82845186306 M=6837
A=2354 B=6859 C=6687 X=200968301 Y=2575654445 Z=73011636300 M=5574
A=3891 B=3839 C=8134 X=313376843 Y=2200311140 Z=40918573119 M=5823
A=9256 B=8439 C=8148 X=215845002 Y=6018539413 Z=65891487955 M=7850
A=6533 B=7158 C=7789 X=303427518 Y=1417002112 Z=73187883128 M=3075
A=2284 B=9932 C=8657 X=547956283 Y=8795086895 Z=99522078810 M=6036
A=8279 B=4721 C=7867 X=173639003 Y=7403421936 Z=58287226021 M=6932
A=6337 B=5027 C=7259 X=872407961 Y=2466089020 Z=52696057450 M=2482
A=5928 B=6532 C=8822 X=318217989 Y=6080521521 Z=51983080092 M=2966
A=2105 B=5652 C=7365 X=522728926 Y=9086407212 Z=92487182823 M=7055
A=2938 B=4523 C=7681 X=520383396 Y=4057373045 Z=88001624221 M=7278
A=9234 B=4644 C=5134 X=523211426 Y=2379467936 Z=37932371297 M=1000
A=3561 B=7791 C=6465 X=213874642 Y=1036130952 Z=27958559703 M=5335
A=5706 B=7256 C=5598 X=666653454 Y=6143319758 Z=73755908880 M=7598
A=7384 B=5912 C=7221 X=557670885 Y=8376383249 Z=67871561825 M=6491
A=8552 B=6330 C=6930 X=180733984 Y=1079991368 Z=50315307782 M=1995
A=2102 B=5327 C=7102 X=897696722 Y=1076450024 Z=86224036997 M=4598
A=3471 B=7858 C=8954 X=389839122 Y=1850314510 Z=87692615003 M=3024
A=9790 B=3554 C=7414 X=705895095 Y=8200816721 Z=16756634290 M=6908
A=4150 B=8034 C=9428 X=173189326 Y=8810367320 Z=25989399950 M=8225
A=7003 B=6043 C=5411 X=390002884 Y=6805588098 Z=98050795669 M=2487
A=3419 B=4997 C=6466 X=225227761 Y=8314375492 Z=58244199328 M=2043
A=7252 B=6446 C=8059 X=131920633 Y=7061612289 Z=23155045068 M=3265
A=8161 B=3931 C=9630 X=569723845 Y=3580409078 Z=34422929571 M=7526
A=7036 B=4177 C=5306 X=140238937 Y=2308510407 Z=31358100972 M=8001
A=2302 B=9665 C=5150 X=662405915 Y=5509089188 Z=83339255003 M=7201
A=9614 B=3335 C=5596 X=802823926 Y=6204394710 Z=47402761248 M=5668
A=9163 B=9617 C=7689 X=341635939 Y=2958561515 Z=21097428872 M=7628
A=5389 B=3732 C=8841 X=549267060 Y=6672337987 Z=86890541754 M=8439
A=5864 B=7319 C=5511 X=703349314 Y=7755593287 Z=77961139430 M=8753
A=6265 B=7171 C=7967 X=964388829 Y=4721703891 Z=42815494941 M=1267
A=8037 B=9907 C=6885 X=425480149 Y=5869245849 Z=70219369323 M=8457
A=8409 B=5545 C=9013 X=726587432 Y=9107369510 Z=38418458104 M=6733
A=6189 B=5422 C=9175 X=455069809 Y=5473122042 Z=41079122307 M=8322
A=7156 B=4627 C=7024 X=356130182 Y=8488015939 Z=11120800194 M=3649
A=3547 B=4135 C=9856 X=953728275 Y=5961725667 Z=66880625123 M=8771
A=5348 B=6676 C=8204 X=786378452 Y=1460680962 Z=85050639230 M=3007
A=8583 B=9076 C=8765 X=680860945 Y=4714262222 Z=82351201441 M=1473
A=8427 B=6124 C=9481 X=510904326 Y=1962149169 Z=91162924416 M=9543
A=6386 B=6839 C=6025 X=584650853 Y=7265131468 Z=77447678018 M=8960
A=5857 B=4097 C=5479 X=763659932 Y=7086586716 Z=96901633895 M=3454
A=7305 B=8933 C=5576 X=434800234 Y=6501365686 Z=92168256016 M=3505
A=6436 B=3157 C=5474 X=123726456 Y=8704620533 Z=60695546992 M=7735
A=8031 B=4000 C=5773 X=758180694 Y=5260084274 Z=78708982866 M=2206
A=6084 B=5573 C=7184 X=280537492 Y=1145731625 Z=27317729004 M=2210
A=4828 B=5538 C=6578 X=445442933 Y=7340942171 Z=72406870198 M=9228
A=3588 B=7966 C=8897 X=796863348 Y=7167709153 Z=88064696935 M=4236
A=6530 B=5468 C=5047 X=269825981 Y=5047539723 Z=26367841182 M=8907
A=9993 B=3664 C=9197 X=562870890 Y=2599993925 Z=99059552759 M=3085
A=5185 B=4378 C=6446 X=367650377 Y=4846079907 Z=73154500511 M=4239
A=2515 B=8752 C=9964 X=476740456 Y=5938626788 Z=18192658497 M=3759
A=9890 B=9476 C=7859 X=176245439 Y=4793200982 Z=47978075751 M=6827
A=8383 B=9655 C=7334 X=500079696 Y=5848915449 Z=91824545396 M=5188
A=8990 B=3340 C=5134 X=230498405 Y=6514501277 Z=66558879806 M=8052
A=5312 B=8984 C=8559 X=235586937 Y=2030130313 Z=40698925923 M=9025
A=7850 B=7116 C=7214 X=667639338 Y=3740122513 Z=39337181344 M=2226
A=5767 B=6033 C=8418 X=747267839 Y=5516857116 Z=31702335247 M=2720
A=5467 B=4193 C=7555 X=218300584 Y=9979069243 Z=89340083792 M=2811
A=7144 B=3770 C=5170 X=638152735 Y=4393797329 Z=79643638266 M=3715
A=5762 B=6561 C=9289 X=168608411 Y=4784779083 Z=46611524408 M=1779
A=7314 B=7652 C=5155 X=962719439 Y=9365390895 Z=91784819900 M=9520
A=7973 B=6372 C=8600 X=993888297 Y=3820438411 Z=81177632890 M=8749
A=6185 B=8484 C=5020 X=763320921 Y=4812957938 Z=94046431237 M=6314
A=3376 B=6577 C=7530 X=794544472 Y=9706764709 Z=18893086594 M=3820
A=8370 B=7688 C=7495 X=106582707 Y=6303338738 Z=39290613285 M=9379
A=4656 B=7785 C=7294 X=135727089 Y=8389709431 Z=62767347165 M=4795
A=3050 B=3547 C=9959 X=905466710 Y=3049895994 Z=54991095170 M=4304
A=5117 B=6200 C=9872 X=455485985 Y=9590159137 Z=63874847075 M=3411
A=3503 B=3723 C=8506 X=590448187 Y=1671295010 Z=98576214965 M=7102
A=8866 B=9709 C=7073 X=812533375 Y=2045278233 Z=97828786231 M=6629
A=5257 B=9895 C=5507 X=414653754 Y=6647091438 Z=67977476978 M=4222
A=4661 B=4406 C=9231 X=353561307 Y=6130389918 Z=40744995888 M=9673
A=4279 B=3342 C=6173 X=830705163 Y=2839403193 Z=94687143253 M=7640
A=6339 B=5039 C=7796 X=694358101 Y=3427341222 Z=20679604496 M=2663
A=7272 B=4153 C=7031 X=544947922 Y=4833996965 Z=27100310028 M=3616
A=6865 B=4138 C=7072 X=434598244 Y=3835680610 Z=59224927357 M=7726
A=6108 B=3642 C=5234 X=990577959 Y=6454761452 Z=57942665972 M=4366
A=7718 B=6267 C=5921 X=296978316 Y=3602306390 Z=42316323476 M=2165
A=7948 B=4980 C=6418 X=777207683 Y=9341401467 Z=31674388934 M=8207
A=6715 B=7829 C=5109 X=764337405 Y=3942596697 Z=51820837409 M=3808
A=8152 B=9785 C=6867 X=647876855 Y=7826816646 Z=19133956129 M=6801
A=5003 B=4220 C=5508 X=795290263 Y=4433447823 Z=36477174055 M=4054
A=7831 B=6210 C=9396 X=790927223 Y=6155362188 Z=76418538604 M=1520
A=9376 B=8764 C=5820 X=704832154 Y=3572999414 Z=78812521490 M=2666
A=4641 B=9501 C=7234 X=385427461 Y=6444421724 Z=20314275536 M=5242
A=5879 B=9121 C=7547 X=152063142 Y=5222863907 Z=69282614032 M=2200
A=8129 B=7503 C=9340 X=542782181 Y=2930733917 Z=31174208358 M=6188
A=5948 B=6391 C=9975 X=289703357 Y=5766845379 Z=56445989475 M=5854
A=9633 B=3261 C=5686 X=672625363 Y=6932091068 Z=62289523496 M=5700
A=7433 B=6141 C=5837 X=335834913 Y=8919800831 Z=15604794462 M=3443
A=8139 B=9559 C=7686 X=916525012 Y=4867807230 Z=63209498304 M=9268
A=5495 B=8706 C=9619 X=644069695 Y=1066917260 Z=59826076490 M=7047
A=5936 B=6848 C=6112 X=216951595 Y=3941954880 Z=30185414692 M=5302
A=4126 B=8844 C=8265 X=675356414 Y=1656496272 Z=34775652854 M=8093
A=7350 B=5666 C=9717 X=442394668 Y=6475539146 Z=37589231560 M=4308
A=5026 B=3710 C=8602 X=284201204 Y=6566831839 Z=75528447350 M=3307
A=6926 B=5019 C=5949 X=820162731 Y=3874254053 Z=86799835651 M=3633
A=5386 B=4920 C=7468 X=562410156 Y=7452313882 Z=55766164401 M=2566
A=8569 B=9187 C=5486 X=614261541 Y=5801677730 Z=92862099571 M=4864
A=8858 B=6439 C=6643 X=403881021 Y=1560780229 Z=60089448139 M=6708
A=7736 B=5022 C=7791 X=281122121 Y=6372933332 Z=80824638161 M=9106
A=2830 B=9524 C=6188 X=649724729 Y=1617645549 Z=10219868580 M=5905
A=5966 B=7321 C=7802 X=980736287 Y=6205238656 Z=81316039482 M=7727
A=2356 B=3016 C=5926 X=212724983 Y=3807321016 Z=43096004480 M=7570
A=5196 B=5720 C=9260 X=294114274 Y=5425664618 Z=36862310803 M=1807
A=5308 B=7555 C=5595 X=797089920 Y=2484546742 Z=28443659118 M=6021
A=6020 B=9278 C=9283 X=100622181 Y=6685385436 Z=41446174710 M=8448
A=4917 B=9735 C=8710 X=209669526 Y=1695918905 Z=32417667937 M=7479
A=9254 B=8023 C=5019 X=468845839 Y=8181028001 Z=32704740062 M=1023
A=9230 B=3641 C=7390 X=687287388 Y=4200470043 Z=89138292434 M=1214
A=3006 B=8661 C=8965 X=568868079 Y=2278675927 Z=14175592784 M=2753
A=6779 B=8809 C=8313 X=632717233 Y=1178400888 Z=43057948511 M=7368
A=6128 B=3735 C=5645 X=628100007 Y=1048777736 Z=17600979752 M=7458
A=3168 B=8075 C=8669 X=168387394 Y=6069358825 Z=28124941682 M=5100
A=3938 B=4274 C=5313 X=689856088 Y=6272733218 Z=85875712602 M=2211
A=8521 B=4309 C=5696 X=616689202 Y=2755002093 Z=88895209323 M=4707
A=7736 B=8275 C=6205 X=964500493 Y=7823791959 Z=37381248990 M=7254
A=4231 B=3727 C=9214 X=367443770 Y=6848896737 Z=53853763335 M=5924
A=9367 B=3934 C=5088 X=661979279 Y=1167022092 Z=88070096353 M=6485
A=8149 B=9843 C=6372 X=744284888 Y=5614322393 Z=44389788375 M=2787
A=8295 B=3075 C=9761 X=138882279 Y=1737447598 Z=79801796595 M=3478
A=5725 B=7858 C=5847 X=350008882 Y=5151328153 Z=41399161906 M=3227
A=6269 B=4416 C=7540 X=524196646 Y=2632956511 Z=78265203362 M=8245
A=9602 B=9077 C=9421 X=134452871 Y=9578935865 Z=48394879515 M=2822
A=7026 B=7882 C=6569 X=661557610 Y=2495653780 Z=27095945618 M=9951
A=7040 B=7597 C=6445 X=328648727 Y=8656696273 Z=77898858497 M=8657
A=3710 B=7770 C=6641 X=227808019 Y=8515232117 Z=46233159520 M=7518
A=5973 B=5912 C=6744 X=339823125 Y=2192564328 Z=56639421806 M=4741
A=8343 B=7815 C=6621 X=406653049 Y=5800064299 Z=47781719886 M=6695
A=3644 B=8970 C=7141 X=626099611 Y=1465364839 Z=41254793795 M=2680
A=2945 B=6848 C=6342 X=715543232 Y=3729076475 Z=42979967244 M=4549
A=2564 B=6891 C=9759 X=963765242 Y=4819219924 Z=56160148510 M=1113
A=7945 B=6078 C=6951 X=471063326 Y=1090391743 Z=47615290900 M=7036
A=3940 B=7138 C=8091 X=470240471 Y=8665257842 Z=13521512699 M=3815
A=8712 B=3356 C=6634 X=943488330 Y=7014800718 Z=89419183288 M=1287
A=5630 B=9262 C=8315 X=541643497 Y=9729811963 Z=71167267961 M=1465
A=8503 B=5890 C=9112 X=373959477 Y=3426920560 Z=45479997853 M=1230
A=3900 B=4058 C=8027 X=202563782 Y=5552378945 Z=17079612192 M=5964
A=8840 B=8248 C=5777 X=648772024 Y=5720868625 Z=79432234671 M=9199
A=6380 B=8887 C=9624 X=729136068 Y=7170419339 Z=93280495283 M=4781
A=8483 B=4829 C=8048 X=593943591 Y=7891478923 Z=14647297839 M=2425
A=7172 B=4107 C=9551 X=225380546 Y=3830540873 Z=35423278994 M=1323
A=7440 B=5912 C=8384 X=886882425 Y=5054968021 Z=55243562674 M=1744
A=4726 B=9308 C=9313 X=322327712 Y=9689351199 Z=93117583456 M=7007
A=3948 B=8006 C=9001 X=709499868 Y=5891249725 Z=43067200348 M=4073
A=6757 B=9316 C=9459 X=364352581 Y=3950160667 Z=65191345878 M=3695
A=4217 B=8949 C=5730 X=338800049 Y=4491943204 Z=10686781244 M=9927
A=4518 B=3932 C=7289 X=423920517 Y=4901470518 Z=98049166127 M=3666
A=8422 B=5277 C=5833 X=843890418 Y=2170031674 Z=76473069840 M=3365
A=2964 B=4610 C=7582 X=606300744 Y=5416535556 Z=32962950152 M=9873
A=6965 B=6257 C=6661 X=480331254 Y=8559406311 Z=57748028136 M=5114
A=4240 B=8441 C=6603 X=844790214 Y=6979399739 Z=11093673440 M=6311
A=9653 B=9285 C=5277 X=407267276 Y=1085671738 Z=39267831387 M=7266
A=7643 B=9555 C=6316 X=451817197 Y=1689846273 Z=34329288903 M=9525
A=7475 B=7555 C=7038 X=543145286 Y=4969737575 Z=10630149954 M=8698
A=2901 B=4887 C=9016 X=709934044 Y=2721934171 Z=50957850445 M=6987
A=5946 B=5271 C=7381 X=525094628 Y=8465358536 Z=41307457978 M=5255
A=5567 B=7080 C=7845 X=832190185 Y=6985727110 Z=48200209089 M=9750
A=3119 B=8763 C=8613 X=462087515 Y=3366229690 Z=56607443710 M=2921
A=2850 B=6512 C=8951 X=596800987 Y=1693587988 Z=49805532639 M=5365
A=8763 B=6633 C=9580 X=676616813 Y=7649923862 Z=92088938236 M=7995
A=2952 B=5862 C=7603 X=313848843 Y=1908419612 Z=80059341088 M=4204
A=9730 B=7418 C=7766 X=810918576 Y=5108430831 Z=15810308292 M=4432
A=4782 B=7222 C=6580 X=372462512 Y=4993210540 Z=87652042697 M=1902
A=9017 B=9904 C=9892 X=241334122 Y=8187918322 Z=42085326683 M=6809
A=2842 B=7672 C=6470 X=967064351 Y=8253968909 Z=84244558380 M=9862
A=5721 B=3870 C=9855 X=815584471 Y=2093224114 Z=70113230167 M=5272
A=2135 B=6617 C=5954 X=229190914 Y=9806699936 Z=90296899376 M=7222
A=6542 B=5457 C=8316 X=932414337 Y=3089912756 Z=47351164551 M=9551
A=9394 B=6552 C=6953 X=588172315 Y=1719946556 Z=95222875032 M=1448
A=7262 B=4150 C=7861 X=243508973 Y=6183579871 Z=56399469466 M=3336
A=4342 B=3333 C=6650 X=894509649 Y=7474635027 Z=20600474197 M=8839
A=4384 B=8105 C=8151 X=790052129 Y=7036425340 Z=88306420320 M=5928
A=6729 B=9084 C=5736 X=396020569 Y=3595772323 Z=11774223552 M=2785
A=9915 B=5483 C=5071 X=888495888 Y=8018104706 Z=22731188376 M=5316
A=7238 B=6978 C=6721 X=176913544 Y=7639585653 Z=20040105242 M=8249
A=5130 B=8564 C=6168 X=679120296 Y=5366168202 Z=34102039032 M=7739
A=8429 B=9061 C=5166 X=992608466 Y=5906670996 Z=53167203747 M=6866
A=5236 B=8016 C=9092 X=137317313 Y=3620561955 Z=27233381707 M=4099
A=4026 B=6396 C=6176 X=343173467 Y=2452274549 Z=53564752387 M=1939
A=3851 B=9584 C=9408 X=272977571 Y=4139515149 Z=36314982104 M=5063
A=7322 B=7347 C=5469 X=719781058 Y=1484093092 Z=54758317081 M=5112
A=7733 B=8476 C=9689 X=748566760 Y=5734172569 Z=63907749289 M=7775
A=7760 B=3667 C=6587 X=388510251 Y=2253317741 Z=52878577910 M=9975
A=2005 B=5754 C=7444 X=626022303 Y=5387310460 Z=63190155043 M=3441
A=3742 B=9375 C=8297 X=314890263 Y=7711166790 Z=96040416907 M=1726
A=5992 B=7837 C=6899 X=196523525 Y=8139995419 Z=67333419093 M=9563
A=4746 B=8304 C=5366 X=250845953 Y=9466788643 Z=48605469776 M=9036
A=9987 B=4545 C=9502 X=846189970 Y=9245242662 Z=26847845639 M=9774
A=7252 B=7995 C=8546 X=136515193 Y=2205576960 Z=16261463630 M=2218
A=2474 B=8103 C=6689 X=164870687 Y=9268970771 Z=16096980078 M=8538
A=7232 B=4512 C=6369 X=545265605 Y=8179581077 Z=84299316255 M=8272
A=2746 B=3094 C=6881 X=909801868 Y=4690074288 Z=42197356672 M=3108
A=4944 B=8804 C=9469 X=415424009 Y=2387927380 Z=46644182945 M=5045
A=7570 B=5405 C=5846 X=237758596 Y=8196034593 Z=51472636439 M=1769
A=7010 B=4190 C=6806 X=336032923 Y=5026521530 Z=58048889423 M=6280
A=9591 B=8617 C=7710 X=328579803 Y=5758847113 Z=61307003115 M=3527
A=3401 B=4170 C=7107 X=107421278 Y=8551976083 Z=86990262135 M=2803
A=5281 B=7573 C=6442 X=807212007 Y=1625517527 Z=40429099889 M=5494
A=4524 B=4424 C=6544 X=124260960 Y=8642946853 Z=47308203907 M=8649
A=4747 B=6819 C=7896 X=909354574 Y=6841217238 Z=29519756833 M=1126
A=8472 B=9460 C=8385 X=551828663 Y=6965378473 Z=78906743010 M=1751
A=3798 B=8038 C=8944 X=200399033 Y=6273874726 Z=45844010395 M=7716
A=2328 B=4950 C=5259 X=389146997 Y=1345701650 Z=77740767584 M=2091
A=7733 B=5714 C=9272 X=561052456 Y=1790686317 Z=60224506032 M=6261
A=4463 B=5796 C=9004 X=488993211 Y=5367761910 Z=60456498536 M=7371
A=2352 B=4134 C=9213 X=980578921 Y=1235884381 Z=81286121424 M=5435
A=7368 B=3928 C=6732 X=807972611 Y=1587646593 Z=31096156109 M=9835
A=5508 B=3187 C=6236 X=667068349 Y=9318753485 Z=96313101386 M=6270
A=3558 B=4967 C=8768 X=758954224 Y=1176458680 Z=72694202105 M=9407
A=5258 B=3117 C=8229 X=588406320 Y=5657723961 Z=20609753289 M=9664
A=8070 B=6090 C=7905 X=490867690 Y=3691258864 Z=42766443130 M=2337
A=8265 B=9748 C=8703 X=205860508 Y=1590843305 Z=83853950216 M=1688
A=2082 B=5171 C=9014 X=522769723 Y=9007652827 Z=22183092562 M=3593
A=2729 B=4597 C=8541 X=953619761 Y=6588237843 Z=37685126639 M=9064
A=4511 B=9458 C=7875 X=692222325 Y=9016056143 Z=21920732684 M=5739
A=6577 B=3039 C=9800 X=124491708 Y=6476741466 Z=41280881935 M=3513
A=5074 B=4780 C=9031 X=350272396 Y=9691171629 Z=36154292039 M=7195
A=3181 B=6300 C=8978 X=574844044 Y=9528385355 Z=84261372763 M=5406
A=2878 B=4431 C=9107 X=596100035 Y=5693826205 Z=64718813079 M=4068
A=8772 B=7825 C=5622 X=193791377 Y=1432590783 Z=61638232778 M=1177
A=2959 B=6723 C=9932 X=934142027 Y=5651213137 Z=60564147538 M=4279
A=5790 B=3729 C=8583 X=899478212 Y=7030404941 Z=23824045915 M=8848
A=4612 B=9730 C=6946 X=217369488 Y=7964749253 Z=43284073833 M=9049
A=7139 B=6066 C=9923 X=252640018 Y=8449913657 Z=97735378929 M=4643
A=5081 B=5900 C=7511 X=416487127 Y=3789207087 Z=16174163805 M=3838
A=3242 B=5152 C=7678 X=120292797 Y=8348120603 Z=43298490095 M=1953
A=9316 B=9218 C=5838 X=936968641 Y=6912187506 Z=87627184546 M=7454
A=4992 B=3173 C=5149 X=365353905 Y=8899294233 Z=10143187848 M=4774
A=4253 B=8722 C=8136 X=531152021 Y=7221180635 Z=74438641969 M=1670
A=5707 B=6241 C=9524 X=752834458 Y=8178752842 Z=64713458333 M=8444
A=8353 B=4928 C=9474 X=809324782 Y=9091565231 Z=85946485997 M=1981
A=7422 B=6653 C=7426 X=245739708 Y=4196916440 Z=27611222214 M=1872
A=9954 B=6956 C=7860 X=821186042 Y=4013363190 Z=34825153565 M=5579
A=3330 B=5117 C=7768 X=715314301 Y=6849247086 Z=10202313711 M=9695
A=6002 B=8443 C=9378 X=440320626 Y=8079561663 Z=85740498979 M=6949
A=2444 B=5358 C=9739 X=247904522 Y=3678815763 Z=99642766612 M=3609
A=5670 B=4956 C=7953 X=252311011 Y=7660269126 Z=62967205773 M=2017
A=2089 B=4634 C=8638 X=601787153 Y=3171068591 Z=46068918496 M=7290
A=4160 B=3770 C=5657 X=258301554 Y=2468630586 Z=13294517155 M=3830
A=2385 B=3980 C=8888 X=338675612 Y=1141045384 Z=97735823632 M=2179
A=9346 B=7314 C=5192 X=208828050 Y=4031072239 Z=43314089206 M=7537
A=2286 B=7563 C=5161 X=759785860 Y=4757320266 Z=37914281535 M=6200
A=7749 B=6943 C=5814 X=427801336 Y=1079050278 Z=72783705116 M=1640
A=4130 B=5258 C=9717 X=414918540 Y=3534348872 Z=88550181900 M=2248
A=6631 B=7058 C=8324 X=542064153 Y=7016914503 Z=65575151014 M=3492
A=7327 B=7660 C=5061 X=251903511 Y=9710282927 Z=16858079735 M=8498
A=4757 B=8652 C=5509 X=958477080 Y=1609229714 Z=31985218881 M=9001
A=5690 B=7902 C=8376 X=224008862 Y=8613551915 Z=80754336943 M=4336
A=2205 B=3853 C=7004 X=988872726 Y=9919954781 Z=11636708199 M=2728
A=6415 B=6126 C=7762 X=336345382 Y=9238976543 Z=62172860323 M=4714
A=5708 B=9617 C=5964 X=380866563 Y=5054586528 Z=10436951296 M=6194
A=9856 B=5077 C=6724 X=408338866 Y=3679231535 Z=67033203825 M=8306
A=2554 B=3762 C=9602 X=884593219 Y=3701136064 Z=19998070630 M=2732
A=7059 B=9156 C=5186 X=981951897 Y=6514920667 Z=24177773589 M=1398
A=2962 B=9667 C=9532 X=785106253 Y=4336433167 Z=67196603670 M=6913
A=6933 B=6743 C=5007 X=207034677 Y=9702011730 Z=12165549854 M=3140
A=2038 B=6244 C=5780 X=361101079 Y=7851946514 Z=94629995173 M=1341
A=5871 B=9345 C=5858 X=438793049 Y=5228692598 Z=95506108238 M=2450
A=8921 B=7409 C=8491 X=528281140 Y=2733120077 Z=80109674028 M=2548
A=5137 B=8155 C=9249 X=930181104 Y=7396286154 Z=74940205043 M=5063
A=5646 B=7700 C=5435 X=986117782 Y=7919904399 Z=26360712118 M=2704
A=4531 B=3059 C=9452 X=982651340 Y=4158903390 Z=87476875986 M=5316
A=2230 B=3837 C=6098 X=987091738 Y=5020436083 Z=44151053363 M=8846
A=3442 B=7972 C=6791 X=989744174 Y=4290751475 Z=67446203637 M=1802
A=3063 B=8865 C=8934 X=639265277 Y=9646918129 Z=64496492672 M=5184
A=3045 B=4118 C=8180 X=809056085 Y=2369098574 Z=74445491844 M=2944
A=8675 B=3707 C=5421 X=154120832 Y=6766063875 Z=63751663205 M=2331
A=9987 B=4132 C=7268 X=877596403 Y=7531787559 Z=88286629628 M=7400
A=4805 B=7169 C=9876 X=679663211 Y=8413709609 Z=31671064453 M=8245
A=6152 B=9171 C=8951 X=290415081 Y=2413249461 Z=91207576960 M=8784
A=6985 B=4409 C=9964 X=200383607 Y=1834384235 Z=42687418879 M=2563
A=8860 B=7719 C=9035 X=719602837 Y=6332544133 Z=16672305266 M=2917
A=7963 B=7874 C=7184 X=716773130 Y=8101309448 Z=28742988254 M=9771
A=3194 B=8488 C=5668 X=612721913 Y=7524033268 Z=53123458317 M=1836
A=5283 B=7121 C=5336 X=388215653 Y=8412867869 Z=54076886951 M=9651
A=9459 B=5981 C=5514 X=299529639 Y=3951486748 Z=11653828722 M=8254
A=9646 B=6401 C=8898 X=615152533 Y=4336691413 Z=37911035322 M=4806
A=5058 B=6961 C=9984 X=356583809 Y=5578486145 Z=72996189948 M=2816
A=7137 B=8950 C=5099 X=484671123 Y=6379600776 Z=62195543376 M=9393
A=8895 B=6167 C=9705 X=679547744 Y=7635684215 Z=14043652944 M=2841
A=8394 B=6194 C=6733 X=649979128 Y=9278114340 Z=78729944115 M=7704
A=3137 B=4041 C=8848 X=814706141 Y=8689316963 Z=82770116366 M=2932
A=2485 B=6338 C=5451 X=794426188 Y=2571859907 Z=60292490759 M=4133
A=3796 B=3044 C=9181 X=493992816 Y=3929266772 Z=55459682080 M=9239
A=8883 B=4176 C=9331 X=548935462 Y=9914882333 Z=44184073915 M=7659
A=8524 B=5121 C=9758 X=577611808 Y=7589366683 Z=61927533499 M=1194
A=2010 B=3579 C=7441 X=644021120 Y=1657115963 Z=74798267324 M=3255
A=5435 B=7272 C=6604 X=297519094 Y=1183564134 Z=67975380471 M=6801
A=5389 B=9407 C=8010 X=971382932 Y=8159767160 Z=87552664715 M=5429
A=4614 B=4261 C=8287 X=753363166 Y=5008347424 Z=18446178760 M=3508
